,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
118,3,MTL,PP,Tomas Tatar , Andrew Shaw,Kenny Agostino,10,00:50:09,00:10:09,MTL,2018-11-24,4,2,3009.0,BOS,2.0,2.0,Tie
119,3,BOS,PP,John Moore , David Backes,David Krejci,1,00:57:03,00:17:03,MTL,2018-11-24,5,3,3423.0,BOS,2.0,3.0,Go-Ahead Goal
120,1,TOR,,Travis Dermott , Mitch Marner,,1,00:17:44,00:17:44,TOR,2018-11-26,1,1,1064.0,TOR,1.0,0.0,Go-Ahead Goal
121,2,BOS,PP,David Pastrnak , Brad Marchand,Torey Krug,18,00:23:39,00:03:39,TOR,2018-11-26,2,1,1419.0,TOR,1.0,1.0,Tie
122,2,TOR,,Igor Ozhiganov , Mitch Marner,Frederik Gauthier,1,00:33:06,00:13:06,TOR,2018-11-26,3,2,1986.0,TOR,2.0,1.0,Go-Ahead Goal
123,2,BOS,,David Pastrnak , Torey Krug,Brad Marchand,19,00:34:22,00:14:22,TOR,2018-11-26,4,2,2062.0,TOR,2.0,2.0,Tie
124,2,TOR,PP,Josh Leivo , Tyler Ennis,Patrick Marleau,4,00:38:38,00:18:38,TOR,2018-11-26,5,3,2318.0,TOR,3.0,2.0,Go-Ahead Goal
125,3,TOR,EN,Zach Hyman , John Tavares,Mitch Marner,4,00:58:25,00:18:25,TOR,2018-11-26,6,4,3505.0,TOR,4.0,2.0,Insurance Goal
126,1,NYI,,Anders Lee , Mathew Barzal,Scott Mayfield,8,00:12:17,00:12:17,BOS,2018-11-29,1,1,737.0,Shootout,0.0,1.0,Go-Ahead Goal
127,2,BOS,PP,Brad Marchand , David Pastrnak,Torey Krug,7,00:32:09,00:12:09,BOS,2018-11-29,2,1,1929.0,Shootout,1.0,1.0,Tie
128,1,BOS,,David Backes , John Moore,Colby Cave,2,00:19:56,00:19:56,BOS,2018-12-01,1,1,1196.0,DET,1.0,0.0,Go-Ahead Goal
129,2,DET,,Tyler Bertuzzi , Michael Rasmussen,Mike Green,9,00:25:45,00:05:45,BOS,2018-12-01,2,1,1545.0,DET,1.0,1.0,Tie
130,2,DET,PP,Dylan Larkin , Justin Abdelkader,Gustav Nyquist,10,00:37:36,00:17:36,BOS,2018-12-01,3,2,2256.0,DET,1.0,2.0,Go-Ahead Goal
131,3,BOS,PP,Ryan Donato , David Pastrnak,Torey Krug,2,00:45:31,00:05:31,BOS,2018-12-01,4,2,2731.0,DET,2.0,2.0,Tie
132,3,DET,,Frans Nielsen , Danny DeKeyser,Gustav Nyquist,1,00:51:53,00:11:53,BOS,2018-12-01,5,3,3113.0,DET,2.0,3.0,Go-Ahead Goal
133,3,DET,EN,Gustav Nyquist , Niklas Kronwall,,4,00:59:33,00:19:33,BOS,2018-12-01,6,4,3573.0,DET,2.0,4.0,Insurance Goal
134,2,FLA,,Mike Hoffman , Colton Sceviour,Jonathan Huberdeau,13,00:24:21,00:04:21,FLA,2018-12-04,1,1,1461.0,FLA,1.0,0.0,Go-Ahead Goal
135,2,FLA,,Mike Matheson ,,,2,00:33:13,00:13:13,FLA,2018-12-04,2,2,1993.0,FLA,2.0,0.0,Insurance Goal
136,2,FLA,,Jonathan Huberdeau , Keith Yandle,Aleksander Barkov,7,00:35:14,00:15:14,FLA,2018-12-04,3,3,2114.0,FLA,3.0,0.0,Insurance Goal
137,2,FLA,PP,Mike Hoffman , Aleksander Barkov,Keith Yandle,14,00:39:55,00:19:55,FLA,2018-12-04,4,4,2395.0,FLA,4.0,0.0,Insurance Goal
138,3,FLA,PP,Evgenii Dadonov , Aleksander Barkov,Jonathan Huberdeau,13,00:54:26,00:14:26,FLA,2018-12-04,5,5,3266.0,FLA,5.0,0.0,Insurance Goal
139,1,BOS,,David Pastrnak , Colby Cave,,20,00:02:04,00:02:04,TBL,2018-12-06,1,1,124.0,TBL,0.0,1.0,Go-Ahead Goal
140,1,TBL,,Brayden Point , Nikita Kucherov,Tyler Johnson,21,00:14:59,00:14:59,TBL,2018-12-06,2,1,899.0,TBL,1.0,1.0,Tie
141,3,TBL,,Mathieu Joseph , Alex Killorn,Dan Girardi,9,00:42:40,00:02:40,TBL,2018-12-06,3,2,2560.0,TBL,2.0,1.0,Go-Ahead Goal
142,3,TBL,SH,Anthony Cirelli ,,,5,00:44:03,00:04:03,TBL,2018-12-06,4,3,2643.0,TBL,3.0,1.0,Insurance Goal
143,3,BOS,,David Krejci , David Pastrnak,David Backes,3,00:58:15,00:18:15,TBL,2018-12-06,5,2,3495.0,TBL,3.0,2.0,Go-Ahead Goal
144,1,BOS,,Jakob Forsbacka Karlsson , David Pastrnak,Matt Grzelcyk,3,00:11:20,00:11:20,BOS,2018-12-08,1,1,680.0,BOS,1.0,0.0,Go-Ahead Goal
145,2,BOS,PP,David Backes , Brad Marchand,Torey Krug,3,00:28:54,00:08:54,BOS,2018-12-08,2,2,1734.0,BOS,2.0,0.0,Insurance Goal
146,2,BOS,,Torey Krug , Brad Marchand,David Krejci,1,00:37:45,00:17:45,BOS,2018-12-08,3,3,2265.0,BOS,3.0,0.0,Insurance Goal
147,3,BOS,,Danton Heinen , Ryan Donato,John Moore,3,00:41:47,00:01:47,BOS,2018-12-08,4,4,2507.0,BOS,4.0,0.0,Insurance Goal
148,3,TOR,,Travis Dermott , Auston Matthews,Jake Gardiner,2,00:44:03,00:04:03,BOS,2018-12-08,5,1,2643.0,BOS,4.0,1.0,Lead Shrink
149,3,BOS,,David Krejci , David Pastrnak,Brad Marchand,4,00:44:37,00:04:37,BOS,2018-12-08,6,5,2677.0,BOS,5.0,1.0,Insurance Goal
150,3,BOS,,Ryan Donato , Danton Heinen,Torey Krug,3,00:46:13,00:06:13,BOS,2018-12-08,7,6,2773.0,BOS,6.0,1.0,Insurance Goal
151,3,TOR,,Auston Matthews , Andreas Johnsson,Morgan Rielly,16,00:49:30,00:09:30,BOS,2018-12-08,8,2,2970.0,BOS,6.0,2.0,Lead Shrink
152,3,TOR,PP,Andreas Johnsson , Patrick Marleau,Jake Gardiner,7,00:52:22,00:12:22,BOS,2018-12-08,9,3,3142.0,BOS,6.0,3.0,Lead Shrink
